INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;HU00;HU01;HU02;HU03;HU04;HU05;HU06;HU07;HU08;HU09;HU10;HU11;HU12;HU13;HU14;HU15;HU16;HU17;HU18;HU19;HU20;HU21;HU22;HU23;HUMAX;HHUMAX;HUMIN;HHUMIN
9434;2019;3;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;64;68;69;71;69;62;60;63;62;62;58;52;46;42;35;32;33;34;38;44;46;51;51;56;72;310;31;1610
9434;2019;3;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;57;62;65;65;65;66;68;66;64;60;55;48;41;31;34;35;33;34;40;45;50;57;54;59;68;600;30;1310
9434;2019;3;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;66;70;70;73;78;75;77;82;76;68;57;50;43;37;31;30;33;33;35;39;45;42;46;51;82;710;29;1510
9434;2019;3;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;40;44;48;46;45;48;44;41;42;44;42;35;30;25;23;24;31;34;37;38;46;52;54;58;60;2359;22;1420
9434;2019;3;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;60;60;63;63;67;70;72;75;69;60;53;47;41;40;37;37;40;40;40;43;50;54;62;70;76;2359;35;1450
9434;2019;3;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;75;78;80;80;81;82;80;83;83;80;76;67;65;57;39;40;34;66;64;64;69;57;59;55;85;730;34;1600
9434;2019;3;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;58;57;61;64;62;66;71;69;62;58;52;48;42;30;29;26;26;26;32;37;41;41;50;50;71;540;25;1620
9434;2019;3;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;55;61;64;65;65;65;67;61;63;66;57;52;49;49;46;43;41;38;41;48;54;58;63;64;67;9999;38;1630
9434;2019;3;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;68;72;76;73;77;80;79;78;69;60;51;42;42;40;43;44;44;46;51;56;63;65;67;72;80;500;40;1240
9434;2019;3;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;75;77;77;79;82;82;80;85;82;72;61;55;54;48;46;44;44;45;53;57;63;64;68;70;87;640;44;1530
9434;2019;3;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;70;69;70;69;69;61;61;62;59;51;48;46;41;40;37;35;35;36;43;46;53;54;56;60;70;9999;33;1630
9434;2019;3;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;64;70;73;71;74;81;81;81;74;65;57;50;45;36;36;36;35;35;40;47;54;53;62;61;84;530;35;1630
9434;2019;3;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;66;62;60;63;61;65;66;67;64;55;53;48;;40;40;46;48;46;55;55;59;62;64;64;68;520;39;1340
9434;2019;3;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;66;65;64;65;62;61;63;64;59;57;54;49;43;40;40;39;39;46;49;52;55;58;61;62;66;9999;37;1520
9434;2019;3;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;63;65;66;69;69;70;68;65;62;57;55;52;46;41;39;37;32;36;42;48;52;52;53;54;70;9999;32;1600
9434;2019;3;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;61;59;66;68;71;76;79;78;73;62;59;50;41;38;35;28;28;23;24;29;32;41;39;46;79;600;22;1720
9434;2019;3;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;51;52;57;58;67;69;72;70;66;53;46;44;40;40;44;41;44;47;50;52;54;58;60;61;73;540;39;1250
9434;2019;3;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;56;56;61;61;65;65;65;64;62;57;53;47;41;35;31;30;34;38;42;43;44;52;57;59;66;420;29;1350
9434;2019;3;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;64;64;65;66;68;71;74;74;70;61;56;51;42;37;36;37;37;39;43;52;57;61;60;63;75;540;36;9999
9434;2019;3;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;66;68;68;70;71;72;71;69;63;54;47;41;36;30;26;25;23;24;28;34;46;50;53;54;72;9999;23;1600
9434;2019;3;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;57;62;64;68;67;66;68;64;63;58;51;45;40;35;30;25;23;21;23;27;33;36;39;46;69;620;21;1700
9434;2019;3;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;45;47;51;54;56;61;66;62;56;49;39;35;27;24;26;27;29;30;32;38;41;45;49;53;67;530;23;1310
9434;2019;3;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;57;60;64;64;68;70;71;71;65;55;44;39;35;32;28;25;22;20;22;26;34;36;41;43;73;540;19;1650
9434;2019;3;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;46;48;51;56;58;61;62;64;59;40;38;34;29;25;21;18;19;22;22;28;33;39;44;45;64;9999;17;1510
9434;2019;3;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;44;45;47;51;56;58;64;65;61;54;49;39;35;34;32;30;34;37;44;50;52;55;55;56;65;9999;30;1500
9434;2019;3;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;57;58;58;58;58;60;60;61;53;46;39;36;29;24;20;16;13;13;20;28;35;38;40;42;61;9999;12;1610
9434;2019;3;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;44;48;51;53;57;61;61;59;51;45;38;33;27;24;23;19;17;18;21;29;36;40;41;43;62;540;16;1610
9434;2019;3;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;48;52;57;60;63;65;68;67;61;56;52;44;37;34;32;30;29;29;29;34;40;44;46;52;69;620;28;1320
9434;2019;3;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;55;58;62;65;67;71;71;70;58;54;48;40;35;27;25;25;26;30;35;39;46;51;54;55;72;540;24;1320
9434;2019;3;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;56;62;70;75;79;80;83;82;72;67;57;43;38;32;28;25;27;28;31;35;41;52;58;67;83;600;21;1530
9434;2019;3;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;74;77;80;80;82;85;83;85;79;74;67;63;63;62;56;61;71;72;73;87;91;91;94;92;95;2150;56;1350
