INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;TMAX;TMIN;TMED
9434;2019;10;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;286;153;220
9434;2019;10;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;228;159;194
9434;2019;10;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;265;147;206
9434;2019;10;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;272;159;216
9434;2019;10;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;269;156;212
9434;2019;10;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;239;153;196
9434;2019;10;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;261;147;204
9434;2019;10;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;293;144;218
9434;2019;10;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;238;153;196
9434;2019;10;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;240;116;178
9434;2019;10;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;270;138;204
9434;2019;10;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;293;177;235
9434;2019;10;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;293;178;236
9434;2019;10;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;253;137;195
9434;2019;10;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;205;106;156
9434;2019;10;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;241;100;170
9434;2019;10;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;245;115;180
9434;2019;10;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;220;143;182
9434;2019;10;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;238;146;192
9434;2019;10;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;198;116;157
9434;2019;10;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;179;94;136
9434;2019;10;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;115;95;105
9434;2019;10;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;160;103;132
9434;2019;10;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;191;103;147
9434;2019;10;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;232;91;162
9434;2019;10;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;225;98;162
9434;2019;10;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;222;103;162
9434;2019;10;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;205;126;166
9434;2019;10;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;236;115;176
9434;2019;10;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;238;116;177
9434;2019;10;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;222;137;180
