INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;TMAX;TMIN;TMED
9434;2018;11;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;159;75;117
9434;2018;11;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;161;89;125
9434;2018;11;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;152;69;110
9434;2018;11;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;160;26;93
9434;2018;11;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;108;65;86
9434;2018;11;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;160;76;118
9434;2018;11;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;177;79;128
9434;2018;11;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;154;58;106
9434;2018;11;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;158;84;121
9434;2018;11;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;193;100;146
9434;2018;11;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;228;119;174
9434;2018;11;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;200;124;162
9434;2018;11;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;183;114;148
9434;2018;11;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;179;98;138
9434;2018;11;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;168;119;144
9434;2018;11;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;176;116;146
9434;2018;11;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;154;104;129
9434;2018;11;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;122;99;110
9434;2018;11;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;149;96;122
9434;2018;11;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;106;80;93
9434;2018;11;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;151;69;110
9434;2018;11;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;140;53;96
9434;2018;11;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;134;50;92
9434;2018;11;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;148;31;90
9434;2018;11;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;128;56;92
9434;2018;11;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;126;66;96
9434;2018;11;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;144;49;96
9434;2018;11;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;149;29;89
9434;2018;11;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;134;21;78
9434;2018;11;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;140;73;106
