INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;T00;T01;T02;T03;T04;T05;T06;T07;T08;T09;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;TH00;TH07;TH13;TH18;TMIN_JS;HTMAX;HTMIN
9434;2019;2;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;143;136;125;106;104;109;107;101;108;116;128;135;134;138;146;142;119;78;71;76;74;79;75;74;107;73;86;54;63;1350;1800
9434;2019;2;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;74;70;64;53;52;56;58;48;50;59;67;72;73;72;76;78;76;56;34;31;32;34;35;30;50;39;46;22;24;1550;2300
9434;2019;2;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;31;26;26;23;22;18;21;20;30;36;49;65;73;78;78;82;77;69;57;54;48;46;46;45;22;12;37;30;11;1430;500
9434;2019;2;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;44;44;45;40;41;40;33;32;41;51;59;79;88;106;131;135;124;113;103;93;89;85;81;82;27;14;59;60;15;1450;640
9434;2019;2;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;79;79;82;80;78;71;68;66;78;97;117;130;143;151;163;162;161;150;131;123;120;114;108;99;53;47;104;100;56;1420;640
9434;2019;2;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;93;91;91;74;67;63;60;49;55;87;105;126;137;150;160;166;168;163;132;110;96;87;81;71;78;42;107;98;17;1520;720
9434;2019;2;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;61;56;48;49;48;50;42;43;44;72;121;128;144;150;156;158;149;138;115;99;91;86;80;75;52;38;106;85;20;1440;650
9434;2019;2;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;65;53;50;45;34;33;25;24;37;48;69;92;113;136;147;158;160;149;126;109;91;77;71;58;51;21;99;88;1;1530;630
9434;2019;2;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;57;56;48;45;45;41;46;38;46;69;95;118;143;159;170;173;167;150;139;122;111;101;95;92;49;33;111;94;16;1450;700
9434;2019;2;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;87;82;78;71;116;108;111;104;107;114;143;140;165;177;186;181;174;127;113;103;101;94;88;87;68;73;118;92;57;1420;250
9434;2019;2;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;86;84;79;72;74;73;66;73;77;88;99;108;116;124;124;125;122;112;100;91;82;78;74;71;66;48;83;68;52;1350;630
9434;2019;2;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;68;70;62;48;39;39;26;27;50;63;80;94;109;123;134;142;142;142;112;87;70;66;52;44;49;18;81;71;9;1630;610
9434;2019;2;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;35;30;25;21;15;11;6;4;17;33;65;84;103;126;140;149;155;143;124;98;84;78;69;60;23;-2;84;82;-17;1600;630
9434;2019;2;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;52;43;36;47;51;56;58;58;61;68;78;95;113;128;138;145;147;141;125;95;81;67;58;50;38;50;93;86;9;1540;210
9434;2019;2;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;46;41;34;27;25;22;17;31;36;43;53;57;64;87;110;125;126;123;101;72;58;52;42;35;37;27;68;75;-2;1540;550
9434;2019;2;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;29;23;18;15;12;5;0;-5;13;42;67;91;114;132;146;158;160;155;126;105;87;81;77;66;18;-9;90;77;-27;9999;650
9434;2019;2;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;55;40;33;22;18;15;2;0;24;52;80;107;126;144;163;168;164;155;124;103;96;95;86;75;28;-11;67;68;-29;1510;700
9434;2019;2;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;66;57;47;41;40;38;41;43;50;64;80;98;111;123;139;147;151;140;119;97;78;68;59;63;54;38;87;81;12;1550;450
