INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;T00;T01;T02;T03;T04;T05;T06;T07;T08;T09;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;TH00;TH07;TH13;TH18;TMIN_JS;HTMAX;HTMIN
9434;2019;7;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;270;265;246;224;212;206;209;217;228;251;273;289;307;321;336;336;329;313;277;265;245;237;227;216;182;171;211;194;214;1440;450
9434;2019;7;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;211;203;197;192;190;189;196;207;220;238;255;275;293;304;328;347;346;347;345;328;302;282;282;261;163;168;202;217;197;1520;9999
9434;2019;7;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;247;236;226;220;219;216;210;219;239;300;287;309;335;351;364;368;368;367;355;329;306;290;275;260;188;180;209;201;218;1620;610
9434;2019;7;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;246;238;229;225;214;209;235;255;272;289;310;331;346;357;366;366;357;344;339;319;302;285;271;261;168;178;203;203;182;1510;510
9434;2019;7;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;254;247;241;229;221;217;232;254;271;292;315;334;348;363;372;376;381;379;375;361;332;318;298;280;176;197;217;217;211;1600;450
9434;2019;7;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;265;254;244;239;230;216;232;245;260;281;301;321;351;364;382;389;385;385;372;362;337;313;286;263;200;192;212;204;203;1530;510
9434;2019;7;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;251;237;234;227;219;213;222;229;240;257;275;290;310;322;353;364;371;370;360;336;312;284;265;253;183;181;213;202;218;1630;450
9434;2019;7;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;254;229;225;220;215;211;221;231;242;259;290;307;297;276;254;248;250;268;263;217;181;182;187;188;197;187;223;206;183;1120;1950
9434;2019;7;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;191;191;182;175;182;183;186;197;198;219;237;251;261;269;262;263;262;265;258;247;231;221;206;198;173;175;199;176;177;1310;300
9434;2019;7;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;194;187;183;182;175;174;185;195;210;227;246;262;276;293;306;318;321;323;322;310;293;278;259;245;150;148;192;201;170;1710;510
9434;2019;7;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;235;229;224;219;215;210;221;222;243;262;279;298;314;333;341;350;358;360;355;345;322;294;285;277;184;169;204;207;207;1620;430
9434;2019;7;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;254;245;241;230;225;225;236;242;257;274;294;317;335;351;362;364;375;367;361;351;326;306;295;272;174;168;207;211;225;1620;450
9434;2019;7;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;260;251;240;230;221;216;223;228;241;258;273;299;300;316;324;330;337;323;289;277;256;246;243;237;188;167;199;210;218;1550;520
9434;2019;7;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;221;217;204;200;196;197;199;201;208;208;209;234;255;284;300;299;305;294;283;270;247;236;225;217;193;184;211;184;198;9999;420
9434;2019;7;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;216;210;205;205;204;198;201;211;227;240;257;277;286;293;308;305;303;297;284;271;246;232;222;215;150;157;178;176;196;1400;530
9434;2019;7;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;211;208;201;189;181;174;190;203;218;230;243;259;282;298;311;316;326;331;317;304;302;282;273;252;147;147;180;186;169;1700;510
