INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;TMAX;TMIN;TMED
9434;2020;6;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;299;171;235
9434;2020;6;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;281;164;222
9434;2020;6;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;296;161;228
9434;2020;6;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;229;148;188
9434;2020;6;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;255;138;196
9434;2020;6;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;297;148;222
9434;2020;6;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;208;127;168
9434;2020;6;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;224;119;172
9434;2020;6;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;220;126;173
9434;2020;6;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;239;131;185
9434;2020;6;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;247;134;190
9434;2020;6;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;238;113;176
9434;2020;6;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;249;135;192
9434;2020;6;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;278;149;214
9434;2020;6;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;271;151;211
9434;2020;6;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;252;143;198
9434;2020;6;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;245;148;196
9434;2020;6;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;257;130;194
9434;2020;6;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;290;164;227
9434;2020;6;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;323;173;248
9434;2020;6;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;330;186;258
9434;2020;6;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;323;183;253
9434;2020;6;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;350;178;264
9434;2020;6;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;348;207;278
9434;2020;6;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;346;190;268
9434;2020;6;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;325;182;254
9434;2020;6;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;329;176;252
9434;2020;6;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;351;211;281
9434;2020;6;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;325;205;265
9434;2020;6;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;346;182;264
